team_name,team_id,logo_url
Arizona State Sun Devils,9,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arizona Wildcats,12,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arkansas Razorbacks,8,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Auburn Tigers,2,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Boise State Broncos,68,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
California Golden Bears,25,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Colorado Buffaloes,38,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State Rams,36,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Creighton Bluejays,156,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
Duke Blue Devils,150,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida Gators,57,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida State Seminoles,52,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
George Washington Revolutionaries,45,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png
Georgetown Hoyas,46,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Georgia Bulldogs,61,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Indiana Hoosiers,84,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa State Cyclones,66,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Kentucky Wildcats,96,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU Tigers,99,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Louisville Cardinals,97,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Maryland Terrapins,120,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Miami (OH) RedHawks,193,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Michigan State Spartans,127,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Michigan Wolverines,130,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Minnesota Golden Gophers,135,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Missouri Tigers,142,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
NC State Wolfpack,152,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Nebraska Cornhuskers,158,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
New Mexico Lobos,167,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
North Carolina Tar Heels,153,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Northwestern Wildcats,77,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Notre Dame Fighting Irish,87,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Ohio State Buckeyes,194,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oklahoma Sooners,201,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma State Cowboys,197,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
Ole Miss Rebels,145,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Saint Louis Billikens,139,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png
San Diego State Aztecs,21,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
South Florida Bulls,58,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Stanford Cardinal,24,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Syracuse Orange,183,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
Tulsa Golden Hurricane,202,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png
UCLA Bruins,26,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
UConn Huskies,41,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
USC Trojans,30,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Wake Forest Demon Deacons,154,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Akron Zips,2006,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama Crimson Tide,333,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
BYU Cougars,252,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Baylor Bears,239,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Belmont Bruins,2057,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png
Butler Bulldogs,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
Cincinnati Bearcats,2132,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson Tigers,228,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Dayton Flyers,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png
Houston Cougars,248,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Illinois Fighting Illini,356,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Marquette Golden Eagles,269,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Memphis Tigers,235,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Mississippi State Bulldogs,344,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Pittsburgh Panthers,221,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Texas A&M Aggies,245,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Texas Longhorns,251,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
UCF Knights,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
Utah State Aggies,328,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
Vanderbilt Commodores,238,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Villanova Wildcats,222,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
Virginia Cavaliers,258,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech Hokies,259,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Washington Huskies,264,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
West Virginia Mountaineers,277,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Wisconsin Badgers,275,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
George Mason Patriots,2244,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png
Gonzaga Bulldogs,2250,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
Grand Canyon Lopes,2253,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png
High Point Panthers,2272,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png
Illinois State Redbirds,2287,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Iowa Hawkeyes,2294,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Kansas Jayhawks,2305,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State Wildcats,2306,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Liberty Flames,2335,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
McNeese Cowboys,2377,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png
Miami Hurricanes,2390,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Nevada Wolf Pack,2440,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
Northern Iowa Panthers,2460,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png
Oregon Ducks,2483,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Providence Friars,2507,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png
Purdue Boilermakers,2509,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Santa Clara Broncos,2541,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png
Seton Hall Pirates,2550,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png
SMU Mustangs,2567,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
Saint Mary's Gaels,2608,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png
South Carolina Gamecocks,2579,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
St. John's Red Storm,2599,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png
TCU Horned Frogs,2628,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Tennessee Volunteers,2633,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas Tech Red Raiders,2641,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
VCU Rams,2670,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png
Wichita State Shockers,2724,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png
Xavier Musketeers,2752,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png
